,refrigerator,bowl,airplane,motorcycle,frisbee,couch,keyboard,fork,bench,toaster,sink,tennis racket,spoon,truck,carrot,laptop,hot dog,tv,cost,suitcase,mouse,elephant,clock,backpack,bear,orange,sports ball,bird,car,book,oven,banana,tie,kite,person,broccoli,dog,remote,microwave,baseball glove,cat,knife,teddy bear,skis,dining table,apple,baseball bat,stop sign,bus,donut,surfboard,cow,cake,wine glass,sandwich,parking meter,scissors,traffic light,horse,bicycle,fire hydrant,toothbrush,chair,giraffe,pizza,potted plant,umbrella,zebra,vase,toilet,cell phone,boat,handbag,bottle,sheep,cup,snowboard,bed,skateboard,train
model_59,,,0.804717,,,,,0.623042,,,,,,,,,,,1818.0,,,,,,,,,,,,,,,,,,,,0.663068,,,,,,0.610572,,0.747265,,,,,,,,,,,,,0.803537,0.852249,,,0.910232,,,,,,,,,,,,,,,0.740737,
model_65,,,,,0.790502,,,,,,,,0.409623,,,,0.77064,,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50147,,,,,,,
model_71,,,0.824831,0.803683,0.74707,,,,,,,,,,,,0.66217,0.715831,1930.0,0.643364,,,,0.533922,0.873891,0.57989,,,,0.45563,,,,0.604406,,0.484879,0.751738,,,,,,,,,,,,,,,,0.782887,,,,,,,0.765919,,0.419111,,0.903608,,,,,,,,0.664777,,0.579718,,0.621279,,,,
model_117,,,,,,,,,,,,0.834759,,,,,,,341.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.596684,,,,,,,0.66841,,,,,,,,,,,,,,,,,,,0.521404,,,,,,,,,
model_103,,,,,,,,,,,,,,,,0.766926,,,485.0,,,,,,,,,,,,,,,,,0.475151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649467,
model_126,,,,,,,0.633228,,,1.0,,,0.69641,,,,,,437.0,,,,,,,,0.74398,,0.668068,,0.373268,,,,,,,,0.517882,,0.602168,,1.0,,,,,,,,0.663691,,,,0.52059,,,,,,,,,0.939942,,,,,,0.766379,,,,,,,,,,
model_132,,,,,,0.756318,0.633228,,,1.0,,0.830078,,,,,0.710219,,485.0,,,,,0.383293,,0.610143,,,0.671273,,0.34136,,0.686937,0.622027,,,,,,,,0.499312,0.912612,0.315391,0.533674,0.398998,,,,0.846107,,0.66841,,0.537845,0.52059,1.0,,,,0.777293,0.805357,,,,,0.584919,,,,,,,,,,0.626907,,,0.734181,
model_2,,,,0.744323,,,,,,,,,,,,,,,2138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438532,,,,,,,
model_97,0.53706,,,,0.651961,,0.556574,,,,,0.694726,,,0.481492,,0.671842,0.68758,4026.0,,,,,,0.660295,,,0.486393,0.697557,0.428962,,,0.567447,,0.753946,0.462659,0.731436,,0.512021,,0.779431,0.53529,,,,0.394652,,,0.752666,0.682865,,0.743685,,0.575784,,,,0.598016,0.815502,0.758377,,0.346074,,,0.664457,,,,,,,,0.446126,0.564784,0.526753,,0.515125,,,
model_83,,,,,,0.681196,,,,,,,,,0.518038,,,,3274.0,,,,,0.543712,,,,,,,,0.495382,,,,,,0.574687,,,,,,,,,,0.752825,0.789086,,0.843185,0.775837,,,,,,,,,,,,,,,0.605255,,,,0.546943,,,,,0.631869,,,0.740737,
